date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:35:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:54%20GMT	https://web.archive.org/web/20240325070546im_/http://www.industriaslunaelectric.com/archivos/images/products/helado-soft-40-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546im_/http_/www.industriaslunaelectric.com/archivos/images/products/helado-soft-40-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:55	76169/76169	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Oct%202024%2022:35:54%20GMT	https://web.archive.org/web/20240108070639im_/http://industriaslunaelectric.com/archivos/images/products/helado-soft-40-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240108070639im_/http_/industriaslunaelectric.com/archivos/images/products/helado-soft-40-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:55	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:54%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/maquina-helado-soft-40-litros-por-hora	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/maquina-helado-soft-40-litros-por-hora	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:55	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:55%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/maquina-helado-artesanal-sobremesa-il	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/maquina-helado-artesanal-sobremesa-il	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:56	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:55%20GMT	https://web.archive.org/web/20240325070546im_/http://www.industriaslunaelectric.com/archivos/images/products/maquina-helado-artesanal-sobremesa-il-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546im_/http_/www.industriaslunaelectric.com/archivos/images/products/maquina-helado-artesanal-sobremesa-il-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:56	59140/59140	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Oct%202024%2022:35:55%20GMT	https://web.archive.org/web/20240108070639im_/http://industriaslunaelectric.com/archivos/images/products/maquina-helado-artesanal-sobremesa-il-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240108070639im_/http_/industriaslunaelectric.com/archivos/images/products/maquina-helado-artesanal-sobremesa-il-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:56	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:55%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/maquina-helado-artesanal-sobremesa-il	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/maquina-helado-artesanal-sobremesa-il	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:56	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:56%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/maquina-helado-frito-4-topineras	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/maquina-helado-frito-4-topineras	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:57	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:56%20GMT	https://web.archive.org/web/20240325070546im_/http://www.industriaslunaelectric.com/archivos/images/products/helado-frito-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546im_/http_/www.industriaslunaelectric.com/archivos/images/products/helado-frito-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:57	57927/57927	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Oct%202024%2022:35:56%20GMT	https://web.archive.org/web/20240108070639im_/http://industriaslunaelectric.com/archivos/images/products/helado-frito-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240108070639im_/http_/industriaslunaelectric.com/archivos/images/products/helado-frito-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:57	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:57%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/maquina-helado-frito-4-topineras	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/maquina-helado-frito-4-topineras	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:57%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/vitrina-exhibidora-para-helados-de-9-pozas	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/vitrina-exhibidora-para-helados-de-9-pozas	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:57%20GMT	https://web.archive.org/web/20240325070546im_/http://www.industriaslunaelectric.com/archivos/images/products/vitrina-09-pozas-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546im_/http_/www.industriaslunaelectric.com/archivos/images/products/vitrina-09-pozas-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:58%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/vitrina-exhibidora-para-helados-de-9-pozas	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/vitrina-exhibidora-para-helados-de-9-pozas	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:59	102949/102949	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Oct%202024%2022:35:58%20GMT	https://web.archive.org/web/20240108070639im_/http://industriaslunaelectric.com/archivos/images/products/vitrina-09-pozas-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240108070639im_/http_/industriaslunaelectric.com/archivos/images/products/vitrina-09-pozas-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:35:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:58%20GMT	https://web.archive.org/web/20240325070546im_/http://www.industriaslunaelectric.com/archivos/images/WAFLERAS.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546im_/http_/www.industriaslunaelectric.com/archivos/images/WAFLERAS.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:59%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/maquina-helado-soft-25-litros-por-hora	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/maquina-helado-soft-25-litros-por-hora	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:00	105520/105520	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Oct%202024%2022:35:59%20GMT	https://web.archive.org/web/20240108070639im_/http://industriaslunaelectric.com/archivos/images/WAFLERAS.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240108070639im_/http_/industriaslunaelectric.com/archivos/images/WAFLERAS.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:35:59%20GMT	https://web.archive.org/web/20240325070546im_/http://www.industriaslunaelectric.com/archivos/images/products/crepera-electrica-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546im_/http_/www.industriaslunaelectric.com/archivos/images/products/crepera-electrica-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:01	44877/44877	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Oct%202024%2022:36:00%20GMT	https://web.archive.org/web/20240108070639im_/http://industriaslunaelectric.com/archivos/images/products/crepera-electrica-pr.jpg	C:/My%20Web%20Sites/lion/web.archive.org/web/20240108070639im_/http_/industriaslunaelectric.com/archivos/images/products/crepera-electrica-pr.jpg	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
17:36:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Thu,%2017%20Oct%202024%2022:36:00%20GMT	https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/productos/crepera-electrica-1-disco	C:/My%20Web%20Sites/lion/web.archive.org/web/20240325070546/http_/www.industriaslunaelectric.com/productos/crepera-electrica-1-disco	(from https://web.archive.org/web/20240325070546/http://www.industriaslunaelectric.com/)
